Product code,CPU cores,CPU freq,CPU name,Display height,Display screen,Display witdh,Maker code,Maker name,Memory RAM,Memory ROM,Name ID,OS type,OS version,Study or work,Entertaiment
L-06D,2,1.5,Qualcomm Snapdragon APQ8060,1024,5,768,l,LG,1024,32768,Optimus Vu,android,4,0,0
L-06D_JOJO,2,1.5,Qualcomm Snapdragon APQ8060,1024,5,768,l,LG,1024,32768,L-06D JOJO,android,4,0,0
L-07C,1,1,Texas Instruments OMAP3630,800,4,480,l,LG,512,4096,Optimus bright,android,2.3,0,0
L01,2,1.5,Qualcomm Snapdragon S4 Plus MSM8960,1280,4.7,720,k,KYOCERA,2048,16384,URBANO,android,4.2,0,0
LG-F320K,4,2.26,Qualcomm MSM8974 Snapdragon 800,1920,5.2,1080,,LG,2048,8192,LG Optimus S G2 LTE-A,android,4.2.2,0,0
LG-F400S,4,2.5,Krait 400,2560,5.5,1440,,LG,2048,16384,LG G3,android,4.4.2,1,1
LGL21,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.7,720,l,LG,2048,16384,Optimus G,android,4,0,0
LGL22,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5.2,1080,l,LG,2048,32768,isai,android,4.4,1,1
LGL23,4,2.3,Qualcomm Snapdragon 800 MSM8974,1280,6,720,l,LG,2048,32768,G Flex,android,4.2,1,1
LGL24,4,2.4,Qualcomm Snapdragon 801 MSM8974AC,2560,5.5,1440,l,LG,2048,32768,isai FL,android,5,1,1
LGL25,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280,4.7,720,l,LG,1536,16384,Fx0,,2,0,0
LGV31,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,2560,5.5,1440,l,LG,3072,32768,isai VL,android,5,1,1
LGV32,6,1.8,Qualcomm Snapdragon 808 MSM8992,2560,5.5,1440,l,LG,3072,32768,isai vivid,android,5.1,1,1
LG_G2_mini,4,1.2,Qualcomm Snapdragon 400 MSM8226,960,4.7,540,l,LG,1024,8192,LG G2 mini,android,4.4,0,0
LG_G3_Beat,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280,5,720,l,LG,1024,8192,LG G3 Beat,android,4.4,0,0
LINEAGE,4,1.3,ARM Cortex-A7,960,5,540,po,Polaroid,1024,4096,LINEAGE,android,4.2,0,0
Liquid_Z200,2,1,MediaTek MT6572M,800,4,480,ac,Acer,512,4096,Liquid Z200,android,4.4,0,0
Liquid_Z330,4,1.1,Qualcomm Snapdragon 210 MSM8909,854,4.5,480,ac,Acer,1024,8192,Liquid Z330,android,5.1,0,0
Liquid_Z530,4,1.3,Mediatek MT6735,1280,5,720,ac,Acer,2048,16384,Liquid Z530,android,5.1,0,0
MI_3W,4,2.3,Qualcomm MSM8274AB Snapdragon 801,1080,5,1920,,Xiaomi,2048,16384,Xiaomi Mi 3,android,4.4.2,1,1
MI_4W,4,2.5,Qualcomm Snapdragon 801,1920,5,1080,,Xiaomi,3072,16384,Xiaomi Mi 4,android,4.4.4,1,1
Mate_S,8,2.2,Hisilicon Kirin935,1920,5.5,1080,hw,Huawei,3072,131072,Mate S,android,5.1,1,1
N-01D,1,1.4,Qualcomm Snapdragon MSM8255,800,4,480,n,NEC,512,2048,MEDIAS PP,android,2.3,0,0
N-02E,2,1.5,Qualcomm Snapdragon MSM8960,800,4,480,n,NEC,1024,8192,MEDIAS U,android,4.1,0,0
N-02E_ONE_PIECE,2,1.5,Qualcomm Snapdragon MSM8960,800,4,480,n,NEC,1024,8192,N-02E,android,4.1,0,0
N-03E,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.7,720,n,NEC,2048,32768,Disney Mobile on docomo,android,4.1,0,0
N-04D,2,1.2,Qualcomm Snapdragon APQ8060,1280,4.3,720,n,NEC,1024,16384,MEDIAS LTE,android,4,0,0
N-04E,4,1.5,Qualcomm Snapdragon S4 Pro APQ8064,1280,4.7,720,n,NEC,2048,32768,MEDIAS X,android,4.1,0,0
N-05D,2,1.5,Qualcomm Snapdragon MSM8260,1280,4.3,720,n,NEC,1024,4096,MEDIAS ES,android,4,0,0
N-05E,2,1.5,Qualcomm Snapdragon S4 MSM8960,960,4.3,540,n,NEC,1024,16384,MEDIAS W,android,4.1,0,0
N-06C,1,1,Qualcomm Snapdragon MSM8255,854,4,480,n,NEC,512,1024,MEDIAS WP,android,2.3,0,0
N-06E,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1280,4.7,720,n,NEC,2048,32768,MEDIAS X,android,4.2,0,0
N-07D,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.3,720,n,NEC,1024,8192,MEDIAS X,android,4.1,0,0
NE-202,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.3,720,n,NEC,1024,8192,MEDIAS for BIGLOBE LTE,android,4,0,0
