product_code,cpu_cores,cpu_freq,cpu_name,height,screen,width,maker_code,maker_name,memory_ram,memory_rom,name_ID,os_type,os_version,url_icon,url_photo,study_work,entertainment
302HW,4,1.6,KIRIN910,1280.0,4.7,720.0,hw,Huawei,2048.0,8192.0,STREAM S,android,4.4,/static/images/icons/302HW.jpg,/static/images/phones/302HW.jpg,0,0
302KC,4,1.2,Qualcomm Snapdragon 400 MSM8926,960.0,4.5,540.0,k,KYOCERA,1536.0,8192.0,DIGNO T,android,4.4,/static/images/icons/302KC.jpg,/static/images/phones/302KC.jpg,0,0
302SH,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,5.2,1080.0,sh,SHARP,2048.0,32768.0,AQUOS PHONE Xx,android,4.2,/static/images/icons/302SH.jpg,/static/images/phones/302SH.jpg,1,1
303SH,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,4.5,1080.0,sh,SHARP,2048.0,16384.0,AQUOS PHONE Xx mini,android,4.2,/static/images/icons/303SH.jpg,/static/images/phones/303SH.jpg,0,0
304SH,4,2.3,Qualcomm Snapdragon 801 MSM8974AB,1920.0,5.2,1080.0,sh,SHARP,2048.0,32768.0,AQUOS Xx,android,4.4,/static/images/icons/304SH.jpg,/static/images/phones/304SH.jpg,1,1
305SH,4,1.2,Qualcomm、Snapdragon 400 MSM8926,1280.0,5.0,720.0,sh,SHARP,1536.0,8192.0,AQUOS CRYSTAL,android,4.4,/static/images/icons/305SH.jpg,/static/images/phones/305SH.jpg,0,0
401SO,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920.0,5.2,1080.0,so,Sony mobile,3072.0,32768.0,Xperia Z3,android,5,/static/images/icons/401SO.jpg,/static/images/phones/401SO.jpg,1,1
402SH,4,2.3,Qualcomm、Snapdragon 801 MSM8974AB,1920.0,5.5,1080.0,sh,SHARP,2048.0,16384.0,AQUOS CRYSTAL X,android,4.4,/static/images/icons/402SH.jpg,/static/images/phones/402SH.jpg,1,1
402SO,8,2.0,Qualcomm Snapdragon 810 MSM8994,1920.0,5.2,1080.0,so,Sony mobile,3072.0,32768.0,Xperia Z4,android,5,/static/images/icons/402SO.jpg,/static/images/phones/402SO.jpg,1,1
403SC,4,2.3,Cortex-A7,1280.0,7.0,800.0,,Samsung,1536.0,8192.0,GALAXY Tab 4 7.0,android,4.4.2,/static/images/icons/403SC.jpg,/static/images/phones/403SC.jpg,0,0
403SH,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280.0,5.2,720.0,sh,SHARP,2048.0,16384.0,AQUOS CRYSTAL 2,android,5,/static/images/icons/403SH.jpg,/static/images/phones/403SH.jpg,0,0
404SC,8,2.1,Exynos7420,2560.0,5.1,1440.0,sc,SAMSUNG,3072.0,65536.0,Galaxy S6 edge,android,5,/static/images/icons/404SC.jpg,/static/images/phones/404SC.jpg,1,1
404SH,8,2.0,Qualcomm Snapdragon 810 MSM8994,1920.0,5.7,1080.0,sh,SHARP,3072.0,32768.0,AQUOS Xx,android,5,/static/images/icons/404SH.jpg,/static/images/phones/404SH.jpg,1,1
503hw,8,1.2,HiSilicon Kirin620,1280.0,5.0,720.0,hw,Huawei,2048.0,16384.0,LUMIERE,android,5,/static/images/icons/503hw.jpg,/static/images/phones/503hw.jpg,0,0
A0001,4,2.5,Krait 400,1920.0,5.5,1080.0,,OnePlus,3072.0,16384.0,OnePlus One,android,4.4.4,/static/images/icons/A0001.jpg,/static/images/phones/A0001.jpg,1,1
AQUOS_Xx2,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920.0,5.3,1080.0,sh,SHARP,3072.0,32768.0,AQUOS Xx2,android,5.1,/static/images/icons/AQUOS_Xx2.jpg,/static/images/phones/AQUOS_Xx2.jpg,1,1
AQUOS_Xx2_mini,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920.0,4.7,1080.0,sh,SHARP,3072.0,16384.0,AQUOS Xx2 mini,android,5.1,/static/images/icons/AQUOS_Xx2_mini.jpg,/static/images/phones/AQUOS_Xx2_mini.jpg,0,0
ARROWS_M01,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280.0,4.5,720.0,f,Fujitsu,1024.0,8192.0,ARROWS M01,android,4.4,/static/images/icons/ARROWS_M01.jpg,/static/images/phones/ARROWS_M01.jpg,0,0
AST21,4,2.3,Intel Atom Z3580,1200.0,8.0,1920.0,as,ASUS,2048.0,16384.0,ASUS MeMO Pad 8,android,4.4.2,/static/images/icons/AST21.jpg,/static/images/phones/AST21.jpg,1,1
ASUS_T00J,2,1.6,Intel Atom Z2560,1280.0,5.0,720.0,as,ASUS,1024.0,8192.0,ASUS Zenfone 5,android,4.3,/static/images/icons/ASUS_T00J.jpg,/static/images/phones/ASUS_T00J.jpg,0,0
AXON_mini,8,1.7,Qualcomm Snapdragon 616 MSM8939,1920.0,5.2,1080.0,z,ZTE,3072.0,32768.0,AXON mini,android,5.1,/static/images/icons/AXON_mini.jpg,/static/images/phones/AXON_mini.jpg,1,1
Ascend_G6,4,1.2,Qualcomm Snapdragon 400 MSM8926,960.0,4.5,540.0,hw,Huawei,1024.0,8192.0,Ascend G6,android,4.3,/static/images/icons/Ascend_G6.jpg,/static/images/phones/Ascend_G6.jpg,0,0
Ascend_G620S,4,1.2,Qualcomm Snapdragon 410 MSM8916,1280.0,5.0,720.0,hw,Huawei,1024.0,8192.0,Ascend G620S,android,4.4,/static/images/icons/Ascend_G620S.jpg,/static/images/phones/Ascend_G620S.jpg,0,0
Ascend_Mate7,8,1.8,Hisilicon Kirin925,1920.0,6.0,1080.0,hw,Huawei,2048.0,16384.0,Ascend Mate7,android,4.4,/static/images/icons/Ascend_Mate7.jpg,/static/images/phones/Ascend_Mate7.jpg,1,1
Ascend_P7,4,1.8,Hisilicon Krin910T,1920.0,5.0,1080.0,hw,Huawei,2048.0,16384.0,Ascend P7,android,4.4,/static/images/icons/Ascend_P7.jpg,/static/images/phones/Ascend_P7.jpg,1,1
BLADE_Q_PLUS,4,1.2,Qualcomm Snapdragon 410 MSM8916,854.0,4.5,480.0,z,ZTE,1024.0,8192.0,BLADE Q+,android,4.4,/static/images/icons/BLADE_Q_PLUS.jpg,/static/images/phones/BLADE_Q_PLUS.jpg,0,0
Blade_V6,4,1.3,Mediatek MT6735,1280.0,5.0,720.0,z,ZTE,2048.0,16384.0,Blade V6,android,5,/static/images/icons/Blade_V6.jpg,/static/images/phones/Blade_V6.jpg,0,0
Blade_Vec_4G,4,1.2,Qualcomm Snapdragon 400 MSM8926,1280.0,5.0,720.0,z,ZTE,1024.0,16384.0,Blade Vec 4G,android,4.4,/static/images/icons/Blade_Vec_4G.jpg,/static/images/phones/Blade_Vec_4G.jpg,0,0
CAL21,2,1.5,Qualcomm Snapdragon MSM8960,800.0,4.0,480.0,ca,CASIO,1024.0,8192.0,G'zOne TYPE-L,android,4,/static/images/icons/CAL21.jpg,/static/images/phones/CAL21.jpg,0,0
DIGNO_C_404KC,4,1.2,Qualcomm Snapdragon 410 MSM8916,960.0,5.0,540.0,k,KYOCERA,1024.0,8192.0,DIGNO C,android,4.4,/static/images/icons/DIGNO_C_404KC.jpg,/static/images/phones/DIGNO_C_404KC.jpg,0,0
DIGNO_U,4,1.2,Qualcomm Snapdragon 410 MSM8916,960.0,5.0,540.0,k,KYOCERA,1024.0,8192.0,DIGNO U,android,4.4,/static/images/icons/DIGNO_U.jpg,/static/images/phones/DIGNO_U.jpg,0,0
DM-01G,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920.0,5.2,1080.0,l,LG,2048.0,16384.0,Disney Mobile on docomo,android,5,/static/images/icons/DM-01G.jpg,/static/images/phones/DM-01G.jpg,1,1
DM-01H,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920.0,4.7,1080.0,sh,SHARP,3072.0,16384.0,Disney Mobile on docomo ,android,5.1,/static/images/icons/DM-01H.jpg,/static/images/phones/DM-01H.jpg,0,0
DM010SH,1,1.0,Qualcomm Snapdragon MSM8255,960.0,4.0,540.0,sh,SHARP,512.0,2048.0,DM010SH,android,2.3,/static/images/icons/DM010SH.jpg,/static/images/phones/DM010SH.jpg,0,0
DM012SH,1,1.4,Qualcomm Snapdragon MSM8255,960.0,4.0,540.0,sh,SHARP,512.0,4096.0,DM012SH,android,2.3,/static/images/icons/DM012SH.jpg,/static/images/phones/DM012SH.jpg,0,0
DM014SH,2,1.5,Qualcomm Snapdragon MSM8960,1280.0,4.5,720.0,sh,SHARP,1024.0,8192.0,DM014SH,android,4.1,/static/images/icons/DM014SH.jpg,/static/images/phones/DM014SH.jpg,0,0
DM015K,2,1.5,Qualcomm MSM8960,1280.0,4.3,720.0,k,KYOCERA,1536.0,16384.0,DM015K,android,4.2,/static/images/icons/DM015K.jpg,/static/images/phones/DM015K.jpg,0,0
DM016SH,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,5.2,1080.0,sh,SHARP,2048.0,32768.0,DM016SH,android,4.2,/static/images/icons/DM016SH.jpg,/static/images/phones/DM016SH.jpg,1,1
EM01F,4,1.5,Qualcomm Snapdragon S4 Pro APQ8064,1280.0,4.7,720.0,f,Fujitsu,2048.0,32768.0,ARROWS S,android,4.1,/static/images/icons/EM01F.jpg,/static/images/phones/EM01F.jpg,0,0
F-01F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,5.0,1080.0,f,Fujitsu,2048.0,32768.0,ARROWS NX,android,4.4,/static/images/icons/F-01F.jpg,/static/images/phones/F-01F.jpg,1,1
F-01H,4,1.2,Qualcomm Snapdragon 410 MSM8916,1280.0,5.0,720.0,f,Fujitsu,2048.0,16384.0,arrows Fit,android,5.1,/static/images/icons/F-01H.jpg,/static/images/phones/F-01H.jpg,0,0
F-02E,4,1.7,NVIDIA Tegra3,1920.0,5.0,1080.0,f,Fujitsu,2048.0,32768.0,ARROWS X,android,4.1,/static/images/icons/F-02E.jpg,/static/images/phones/F-02E.jpg,1,1
F-02G,4,2.3,Qualcomm、Snapdragon 801 MSM8974AB,2560.0,5.2,1440.0,f,Fujitsu,3072.0,32768.0,ARROWS NX,android,5,/static/images/icons/F-02G.jpg,/static/images/phones/F-02G.jpg,1,1
F-02H,6,1.8,Qualcomm Snapdragon 808 MSM8992,2560.0,5.4,1440.0,f,Fujitsu,3072.0,32768.0,arrows NX ,android,5.1,/static/images/icons/F-02H.jpg,/static/images/phones/F-02H.jpg,1,1
F-03E,2,1.5,Qualcomm Snapdragon MSM8960,960.0,4.0,540.0,f,Fujitsu,1024.0,8192.0,ARROWS Kiss,android,4.1,/static/images/icons/F-03E.jpg,/static/images/phones/F-03E.jpg,0,0
F-03F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1280.0,4.7,720.0,f,Fujitsu,2048.0,32768.0,Disney Mobile on docomo,android,4.2,/static/images/icons/F-03F.jpg,/static/images/phones/F-03F.jpg,0,0
F-03G,4,2.3,MSM8974AB,1600.0,10.5,2560.0,,Fujitsu,2048.0,16384.0,ARROWS Tab F-03G,android,4.4.4,/static/images/icons/F-03G.jpg,/static/images/phones/F-03G.jpg,1,1
F-04E,4,1.5,NVIDIA Tegra3,1280.0,4.7,720.0,f,Fujitsu,2048.0,65536.0,ARROWS V,android,4.2,/static/images/icons/F-04E.jpg,/static/images/phones/F-04E.jpg,0,0
F-04G,8,2.0,Qualcomm Snapdragon 810 MSM8994,2560.0,5.2,1440.0,f,Fujitsu,3072.0,32768.0,ARROWS NX,android,5,/static/images/icons/F-04G.jpg,/static/images/phones/F-04G.jpg,1,1
F-05D,2,1.2,Texas Instruments OMAP4430,1280.0,4.3,720.0,f,Fujitsu,1024.0,8192.0,ARROWS X LTE,android,4,/static/images/icons/F-05D.jpg,/static/images/phones/F-05D.jpg,0,0
F-05F,4,2.3,Qualcomm Snapdragon 801 MSM8974AB,1920.0,5.0,1080.0,f,Fujitsu,2048.0,32768.0,ARROWS NX,android,4.4,/static/images/icons/F-05F.jpg,/static/images/phones/F-05F.jpg,1,1
F-06E,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920.0,5.2,1080.0,f,Fujitsu,2048.0,65536.0,ARROWS NX,android,4.2,/static/images/icons/F-06E.jpg,/static/images/phones/F-06E.jpg,1,1
F-07D,1,1.4,Qualcomm Snapdragon MSM8255,800.0,4.0,480.0,f,Fujitsu,512.0,1024.0,ARROWS μ,android,2.3,/static/images/icons/F-07D.jpg,/static/images/phones/F-07D.jpg,0,0
F-07E,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1280.0,4.7,720.0,f,Fujitsu,2048.0,65536.0,Disney Mobile on docomo,android,4.2,/static/images/icons/F-07E.jpg,/static/images/phones/F-07E.jpg,0,0
F-08D,2,1.2,Texas Instruments OMAP4430,1280.0,4.3,720.0,f,Fujitsu,1024.0,4096.0,Disney Mobile on docomo,android,4,/static/images/icons/F-08D.jpg,/static/images/phones/F-08D.jpg,0,0
F-10D,4,1.5,NVIDIA Tegra 3 AP33,1280.0,4.6,720.0,f,Fujitsu,1024.0,16384.0,ARROWS X,android,4.2,/static/images/icons/F-10D.jpg,/static/images/phones/F-10D.jpg,0,0
FJL21,2,1.5,Qualcomm Snapdragon MSM8960,1280.0,4.3,720.0,f,Fujitsu,1024.0,8192.0,ARROWS ef,android,4.1,/static/images/icons/FJL21.jpg,/static/images/phones/FJL21.jpg,0,0
FJL22,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,5.0,1080.0,f,Fujitsu,2048.0,32768.0,ARROWS Z,android,4.2,/static/images/icons/FJL22.jpg,/static/images/phones/FJL22.jpg,1,1
GL07S,4,1.5,HiSilicon K3V2,1280.0,4.7,720.0,hw,Huawei,1024.0,32768.0,STREAM X,android,4.1,/static/images/icons/GL07S.jpg,/static/images/phones/GL07S.jpg,0,0
GS01,2,1.5,Qualcomm Snapdragon MSM8260,960.0,4.3,540.0,dl,DELL,1024.0,8192.0,Dell Streak Pro,android,2.3,/static/images/icons/GS01.jpg,/static/images/phones/GS01.jpg,0,0
GS02,1,1.4,Qualcomm Snapdragon MSM8255T,854.0,4.0,480.0,hw,Huawei,512.0,4096.0,GS02,android,2.3,/static/images/icons/GS02.jpg,/static/images/phones/GS02.jpg,0,0
GS03,2,1.5,Texas Instruments OMAP4460,960.0,4.3,540.0,hw,Huawei,1024.0,4096.0,GS03,android,4,/static/images/icons/GS03.jpg,/static/images/phones/GS03.jpg,0,0
HM_1S,4,1.6,Qualcomm MSM8228 Snapdragon,1280.0,4.7,720.0,,Xiaomi,1024.0,8192.0,Xiaomi Hongmi 1S,android,4.3,/static/images/icons/HM_1S.jpg,/static/images/phones/HM_1S.jpg,0,0
HM_NOTE_1W,8,1.4,Mediatek MT6592,1280.0,5.5,720.0,,Xiaomi,1024.0,16384.0,Redmi Note 1W,android,4.2.2,/static/images/icons/HM_NOTE_1W.jpg,/static/images/phones/HM_NOTE_1W.jpg,0,0
HTC_Desire_626,4,1.2,Qualcomm Snapdragon 410 MSM8916,1280.0,5.0,720.0,ht,HTC,2048.0,16384.0,HTC Desire 626,android,5.1,/static/images/icons/HTC_Desire_626.jpg,/static/images/phones/HTC_Desire_626.jpg,0,0
HTC_Desire_EYE,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920.0,5.2,1080.0,ht,HTC,2048.0,16384.0,HTC Desire EYE,android,5.1,/static/images/icons/HTC_Desire_EYE.jpg,/static/images/phones/HTC_Desire_EYE.jpg,1,1
HTL21,4,1.5,Qualcomm Snapdragon APQ8064,1920.0,5.0,1080.0,ht,HTC,2048.0,16384.0,HTC J butterfly,android,4.1,/static/images/icons/HTL21.jpg,/static/images/phones/HTL21.jpg,1,0
